num_of_rooms,city,year,quarter,district,num_of_transactions,avg_price
1-2,Jerusalem,2019,1,Jerusalem,107,1137.1
2.5-3,Jerusalem,2019,1,Jerusalem,394,1690.2
3.5-4,Jerusalem,2019,1,Jerusalem,402,2048
4.5-5,Jerusalem,2019,1,Jerusalem,184,2661.8
5.5-6,Jerusalem,2019,1,Jerusalem,37,3246.8
1-2,Jerusalem,2019,2,Jerusalem,107,1137.1
2.5-3,Jerusalem,2019,2,Jerusalem,394,1690.2
3.5-4,Jerusalem,2019,2,Jerusalem,402,2048
4.5-5,Jerusalem,2019,2,Jerusalem,184,2661.8
5.5-6,Jerusalem,2019,2,Jerusalem,37,3246.8
1-2,Jerusalem,2019,3,Jerusalem,105,1367.7
2.5-3,Jerusalem,2019,3,Jerusalem,446,1649.6
3.5-4,Jerusalem,2019,3,Jerusalem,399,2162
4.5-5,Jerusalem,2019,3,Jerusalem,171,2831.2
5.5-6,Jerusalem,2019,3,Jerusalem,37,3453.7
1-2,Jerusalem,2019,4,Jerusalem,97,1329.2
2.5-3,Jerusalem,2019,4,Jerusalem,365,1669.8
3.5-4,Jerusalem,2019,4,Jerusalem,374,2187.2
4.5-5,Jerusalem,2019,4,Jerusalem,133,2835.2
5.5-6,Jerusalem,2019,4,Jerusalem,24,3355.8
1-2,Jerusalem,2020,1,Jerusalem,106,1334.8
2.5-3,Jerusalem,2020,1,Jerusalem,347,1791.6
3.5-4,Jerusalem,2020,1,Jerusalem,349,2289.4
4.5-5,Jerusalem,2020,1,Jerusalem,156,2761.9
5.5-6,Jerusalem,2020,1,Jerusalem,38,3668.8
1-2,Jerusalem,2020,2,Jerusalem,70,1329.8
2.5-3,Jerusalem,2020,2,Jerusalem,220,1739.9
3.5-4,Jerusalem,2020,2,Jerusalem,239,2202.2
4.5-5,Jerusalem,2020,2,Jerusalem,121,2745.8
5.5-6,Jerusalem,2020,2,Jerusalem,27,3883
1-2,Jerusalem,2020,3,Jerusalem,65,1508
2.5-3,Jerusalem,2020,3,Jerusalem,253,1706.2
3.5-4,Jerusalem,2020,3,Jerusalem,297,2097.9
4.5-5,Jerusalem,2020,3,Jerusalem,130,2736.5
5.5-6,Jerusalem,2020,3,Jerusalem,18,3553.5
1-2,Jerusalem,2020,4,Jerusalem,83,1522.5
2.5-3,Jerusalem,2020,4,Jerusalem,267,1711.2
3.5-4,Jerusalem,2020,4,Jerusalem,270,2353.2
4.5-5,Jerusalem,2020,4,Jerusalem,140,2901.8
5.5-6,Jerusalem,2020,4,Jerusalem,33,3520.2
1-2,Jerusalem,2021,1,Jerusalem,127,1434.7
2.5-3,Jerusalem,2021,1,Jerusalem,430,1785.9
3.5-4,Jerusalem,2021,1,Jerusalem,451,2236.5
4.5-5,Jerusalem,2021,1,Jerusalem,176,2982.4
5.5-6,Jerusalem,2021,1,Jerusalem,31,3819.3
1-2,Jerusalem,2021,2,Jerusalem,134,1450
2.5-3,Jerusalem,2021,2,Jerusalem,409,1707.6
3.5-4,Jerusalem,2021,2,Jerusalem,434,2295.1
4.5-5,Jerusalem,2021,2,Jerusalem,159,2989.4
5.5-6,Jerusalem,2021,2,Jerusalem,38,3632.4
1-2,Jerusalem,2021,3,Jerusalem,115,1473.2
2.5-3,Jerusalem,2021,3,Jerusalem,434,1807.8
3.5-4,Jerusalem,2021,3,Jerusalem,354,2429.3
4.5-5,Jerusalem,2021,3,Jerusalem,153,3003.1
5.5-6,Jerusalem,2021,3,Jerusalem,27,3666
1-2,Jerusalem,2021,4,Jerusalem,177,1469.2
2.5-3,Jerusalem,2021,4,Jerusalem,593,1902
3.5-4,Jerusalem,2021,4,Jerusalem,491,2539.8
4.5-5,Jerusalem,2021,4,Jerusalem,234,3163.8
5.5-6,Jerusalem,2021,4,Jerusalem,39,3836.8
1-2,Jerusalem,2022,1,Jerusalem,138,1570.2
2.5-3,Jerusalem,2022,1,Jerusalem,500,1963.1
3.5-4,Jerusalem,2022,1,Jerusalem,470,2595
4.5-5,Jerusalem,2022,1,Jerusalem,230,3180.1
5.5-6,Jerusalem,2022,1,Jerusalem,49,3546.4
1-2,Jerusalem,2022,2,Jerusalem,133,1840.4
2.5-3,Jerusalem,2022,2,Jerusalem,396,2189.8
3.5-4,Jerusalem,2022,2,Jerusalem,404,2924.3
4.5-5,Jerusalem,2022,2,Jerusalem,180,3525.4
5.5-6,Jerusalem,2022,2,Jerusalem,46,4288.4
1-2,Jerusalem,2022,3,Jerusalem,136,1718.5
2.5-3,Jerusalem,2022,3,Jerusalem,471,2083.4
3.5-4,Jerusalem,2022,3,Jerusalem,469,2776.5
4.5-5,Jerusalem,2022,3,Jerusalem,224,3391.2
5.5-6,Jerusalem,2022,3,Jerusalem,23,4239.9
1-2,Jerusalem,2022,4,Jerusalem,163,1890.2
2.5-3,Jerusalem,2022,4,Jerusalem,312,2312.6
3.5-4,Jerusalem,2022,4,Jerusalem,330,3023.9
4.5-5,Jerusalem,2022,4,Jerusalem,153,3567.2
5.5-6,Jerusalem,2022,4,Jerusalem,49,6537.6
1-2,Jerusalem,2023,1,Jerusalem,124,1815.3
2.5-3,Jerusalem,2023,1,Jerusalem,322,2335.1
3.5-4,Jerusalem,2023,1,Jerusalem,310,3081.1
4.5-5,Jerusalem,2023,1,Jerusalem,131,3676.9
5.5-6,Jerusalem,2023,1,Jerusalem,29,4849.5
1-2,Jerusalem,2023,2,Jerusalem,87,1739.7
2.5-3,Jerusalem,2023,2,Jerusalem,270,2284.6
3.5-4,Jerusalem,2023,2,Jerusalem,247,3043.7
4.5-5,Jerusalem,2023,2,Jerusalem,163,3613.1
5.5-6,Jerusalem,2023,2,Jerusalem,34,5395.2
1-2,Jerusalem,2023,3,Jerusalem,116,1898.9
2.5-3,Jerusalem,2023,3,Jerusalem,304,2201.8
3.5-4,Jerusalem,2023,3,Jerusalem,243,2953.2
4.5-5,Jerusalem,2023,3,Jerusalem,144,3918.6
5.5-6,Jerusalem,2023,3,Jerusalem,27,4901.9
1-2,Jerusalem,2023,4,Jerusalem,134,2382.1
2.5-3,Jerusalem,2023,4,Jerusalem,201,2336.4
3.5-4,Jerusalem,2023,4,Jerusalem,209,3094.7
4.5-5,Jerusalem,2023,4,Jerusalem,115,3848.7
5.5-6,Jerusalem,2023,4,Jerusalem,8,5613.5
1-2,Ashdod,2019,1,South,40,854.6
2.5-3,Ashdod,2019,1,South,178,1188.4
3.5-4,Ashdod,2019,1,South,217,1526.8
4.5-5,Ashdod,2019,1,South,110,2056.5
5.5-6,Ashdod,2019,1,South,11,2534.3
1-2,Ashdod,2019,2,South,38,900.9
2.5-3,Ashdod,2019,2,South,189,1226.9
3.5-4,Ashdod,2019,2,South,208,1576.7
4.5-5,Ashdod,2019,2,South,124,1996.1
5.5-6,Ashdod,2019,2,South,10,2290.6
1-2,Ashdod,2019,3,South,42,922.6
2.5-3,Ashdod,2019,3,South,161,1226.6
3.5-4,Ashdod,2019,3,South,241,1583.5
4.5-5,Ashdod,2019,3,South,108,2066.9
5.5-6,Ashdod,2019,3,South,16,2231.9
1-2,Ashdod,2019,4,South,49,890.8
2.5-3,Ashdod,2019,4,South,161,1233.8
3.5-4,Ashdod,2019,4,South,209,1564.9
4.5-5,Ashdod,2019,4,South,111,1992.8
5.5-6,Ashdod,2019,4,South,9,2077.8
1-2,Ashdod,2020,1,South,26,897
2.5-3,Ashdod,2020,1,South,155,1229.3
3.5-4,Ashdod,2020,1,South,229,1564.3
4.5-5,Ashdod,2020,1,South,111,2043
5.5-6,Ashdod,2020,1,South,21,2235
1-2,Ashdod,2020,2,South,31,863.3
2.5-3,Ashdod,2020,2,South,117,1255.4
3.5-4,Ashdod,2020,2,South,157,1624.7
4.5-5,Ashdod,2020,2,South,94,1950.6
5.5-6,Ashdod,2020,2,South,8,1688.7
1-2,Ashdod,2020,3,South,35,981.6
2.5-3,Ashdod,2020,3,South,168,1246.9
